episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
0,306.49552772808585,227.2019451022045,53804,0.029668681,319,193,1239,4439,234,164,122,190,40.38461538461539,34.17948717948718,36.17948717948718,382.15384615384613,33.87179487179487,37.743589743589745,23.923076923076923,36.56410256410256,20.94871794871795,39.30769230769231,22.897435897435898,31.666666666666668,22.23076923076923,32.666666666666664,12.0,30.71794871794872,37.8974358974359,14.051282051282051,23.17948717948718,11.512820512820513,20.71794871794872,10.564102564102564,14.846153846153847,35.0
1,310.0885010906824,227.03755097872033,57618,0.03374736,207,169,1295,4808,236,159,106,176,46.31707317073171,30.926829268292682,43.46341463414634,302.3658536585366,44.09756097560975,38.80487804878049,24.51219512195122,41.46341463414634,26.390243902439025,35.36585365853659,26.926829268292682,31.51219512195122,25.365853658536587,37.146341463414636,12.439024390243903,32.829268292682926,40.36585365853659,14.073170731707316,21.634146341463413,11.512195121951219,22.073170731707318,12.0,18.024390243902438,40.90243902439025
2,308.53901639344264,231.72194725675055,53856,0.035452597,278,170,1117,4370,237,177,148,176,44.973684210526315,32.0,43.86842105263158,294.3157894736842,35.8421052631579,49.473684210526315,24.657894736842106,33.63157894736842,24.289473684210527,38.8421052631579,25.31578947368421,29.92105263157895,23.789473684210527,38.026315789473685,9.736842105263158,28.710526315789473,39.71052631578947,16.763157894736842,27.55263157894737,12.473684210526315,24.289473684210527,14.947368421052632,14.447368421052632,41.921052631578945
3,306.66981747066495,234.22175122251122,52791,0.043064818,279,161,689,4280,269,142,116,181,45.69230769230769,29.71794871794872,42.12820512820513,268.8205128205128,35.58974358974359,44.41025641025641,27.128205128205128,37.333333333333336,21.23076923076923,39.0,26.743589743589745,30.23076923076923,21.615384615384617,38.64102564102564,8.435897435897436,32.51282051282051,38.43589743589744,14.35897435897436,22.23076923076923,13.435897435897436,23.205128205128204,12.051282051282051,13.512820512820513,38.92307692307692
4,304.4138041733547,226.93725249448258,55210,0.047815472,244,177,792,4905,243,126,104,177,42.53658536585366,30.24390243902439,45.80487804878049,278.5365853658537,39.53658536585366,45.707317073170735,24.73170731707317,40.24390243902439,21.51219512195122,36.41463414634146,25.463414634146343,34.0,24.658536585365855,33.390243902439025,11.951219512195122,37.53658536585366,38.65853658536585,12.292682926829269,21.902439024390244,13.804878048780488,16.951219512195124,13.0,18.365853658536587,41.31707317073171
5,304.0475749150448,226.98733521067925,56963,0.046543706,238,180,789,4774,244,172,132,210,50.21052631578947,36.05263157894737,47.86842105263158,301.9736842105263,44.13157894736842,50.921052631578945,28.07894736842105,39.6578947368421,23.842105263157894,42.6578947368421,28.789473684210527,35.68421052631579,21.842105263157894,44.89473684210526,9.657894736842104,30.55263157894737,47.13157894736842,15.947368421052632,24.736842105263158,12.31578947368421,25.210526315789473,9.763157894736842,18.973684210526315,40.13157894736842
6,307.54914849118614,227.24541002961703,59182,0.049522247,213,192,731,5136,267,171,137,179,48.513513513513516,34.08108108108108,51.7027027027027,310.8918918918919,51.270270270270274,49.08108108108108,29.135135135135137,43.432432432432435,24.486486486486488,47.75675675675676,30.675675675675677,32.513513513513516,23.54054054054054,37.972972972972975,12.675675675675675,38.32432432432432,39.37837837837838,21.43243243243243,28.54054054054054,16.135135135135137,23.324324324324323,10.675675675675675,20.7027027027027,46.45945945945946
7,313.3264898773881,230.33357774415356,63489,0.052050624,234,181,799,5237,266,179,125,183,49.73684210526316,32.73684210526316,49.36842105263158,312.2368421052632,47.421052631578945,47.5,28.5,43.026315789473685,24.605263157894736,43.36842105263158,31.94736842105263,35.71052631578947,26.894736842105264,40.23684210526316,13.763157894736842,30.894736842105264,39.3421052631579,16.394736842105264,23.63157894736842,15.263157894736842,25.55263157894737,12.947368421052632,16.68421052631579,49.421052631578945
8,308.92063492063494,226.46250009654432,62767,0.04703168,172,165,758,5382,229,171,109,174,48.794871794871796,31.666666666666668,49.82051282051282,260.4102564102564,41.17948717948718,59.76923076923077,26.076923076923077,40.48717948717949,24.615384615384617,44.743589743589745,30.102564102564102,36.8974358974359,24.0,45.333333333333336,14.282051282051283,36.23076923076923,43.02564102564103,20.025641025641026,28.46153846153846,14.743589743589743,24.46153846153846,13.923076923076923,17.41025641025641,45.46153846153846
9,301.609880239521,226.9573925041988,57310,0.051153705,202,165,705,5298,256,169,134,191,56.63157894736842,33.05263157894737,52.73684210526316,283.36842105263156,48.55263157894737,55.73684210526316,26.342105263157894,42.73684210526316,27.07894736842105,47.89473684210526,26.236842105263158,30.55263157894737,25.157894736842106,46.473684210526315,16.63157894736842,32.526315789473685,43.973684210526315,22.55263157894737,26.86842105263158,12.789473684210526,29.42105263157895,17.394736842105264,18.68421052631579,46.8421052631579
10,315.2649909145972,232.74031372001886,58398,0.052865982,200,138,755,4783,216,171,104,148,42.425,33.1,44.1,271.15,43.8,51.35,22.85,39.925,20.025,38.225,26.475,35.575,26.475,40.15,11.95,32.825,33.925,14.875,24.575,15.725,21.4,11.375,16.175,46.475
11,309.83407539329176,231.15991164627022,58745,0.04842397,203,142,684,4999,264,131,114,173,52.92307692307692,36.84615384615385,49.17948717948718,283.38461538461536,40.05128205128205,49.84615384615385,30.794871794871796,40.43589743589744,25.692307692307693,45.48717948717949,25.05128205128205,31.794871794871796,21.743589743589745,43.30769230769231,17.71794871794872,35.43589743589744,43.15384615384615,16.307692307692307,30.05128205128205,16.435897435897434,30.871794871794872,12.76923076923077,15.282051282051283,46.82051282051282
