episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
1,193.98852895049777,192.47898793418108,17128608,0.18721811,361,104,119,130,220,238,227,122,2.75,8.125,6.875,4.875,7.125,5.625,1.625,5.25,2.75,3.375,4.125,3.0,0.625,1.875,1.5,3.875,2.0,1.375,5.625,2.0,3.875,4.125,3.875,3.125
2,208.08957948235076,206.57147916749747,15061530,0.20267622,264,105,123,161,175,196,202,129,2.466666666666667,5.066666666666666,4.666666666666667,3.3333333333333335,5.8,4.4,2.0,4.066666666666666,3.7333333333333334,3.933333333333333,2.8666666666666667,2.2666666666666666,0.4666666666666667,2.2,0.8666666666666667,3.066666666666667,1.0666666666666667,2.066666666666667,3.533333333333333,1.8,2.8,3.1333333333333333,3.6,2.3333333333333335
3,197.77388286144645,197.5121810124648,13535647,0.19365463,311,95,100,113,203,186,195,96,3.3043478260869565,4.826086956521739,4.826086956521739,3.0869565217391304,5.434782608695652,5.3478260869565215,2.4347826086956523,4.043478260869565,5.478260869565218,3.5217391304347827,2.6956521739130435,2.3043478260869565,1.0869565217391304,2.608695652173913,0.9130434782608695,3.4782608695652173,1.1304347826086956,2.4347826086956523,3.0869565217391304,1.3043478260869565,2.869565217391304,2.391304347826087,3.391304347826087,3.3043478260869565
4,194.79452237940288,194.05016859510633,19822702,0.18207274,356,135,108,145,183,237,235,148,3.3333333333333335,4.866666666666666,4.8,2.7,5.233333333333333,5.166666666666667,2.466666666666667,4.233333333333333,5.233333333333333,3.533333333333333,2.533333333333333,1.9666666666666666,1.3666666666666667,2.566666666666667,0.9666666666666667,3.3,1.1666666666666667,2.2,2.8,1.5666666666666667,3.0,2.4,3.6666666666666665,3.066666666666667
5,195.45322888444832,194.70702414665342,14298274,0.18705383,284,109,94,139,171,186,206,110,3.27027027027027,4.405405405405405,4.945945945945946,2.4054054054054053,5.405405405405405,5.081081081081081,2.5135135135135136,3.918918918918919,4.972972972972973,3.108108108108108,2.324324324324324,1.864864864864865,1.3513513513513513,2.2162162162162162,0.972972972972973,3.4864864864864864,1.2162162162162162,2.135135135135135,2.4324324324324325,1.4594594594594594,2.7837837837837838,2.5675675675675675,3.5945945945945947,2.810810810810811
6,191.46752521895974,190.13787581306718,12985931,0.17177641,301,103,105,135,202,201,187,122,3.3181818181818183,4.295454545454546,4.9772727272727275,2.5454545454545454,5.113636363636363,4.9772727272727275,2.3636363636363638,4.0227272727272725,4.704545454545454,2.8181818181818183,2.227272727272727,1.6363636363636365,1.4772727272727273,2.0,1.1136363636363635,3.1818181818181817,1.1818181818181819,2.2045454545454546,2.5454545454545454,1.5,2.409090909090909,2.659090909090909,3.522727272727273,2.6136363636363638
7,200.1857643025,199.60490183559153,10196152,0.19413589,219,115,109,116,139,159,154,108,3.235294117647059,3.9607843137254903,4.9411764705882355,2.450980392156863,4.862745098039215,4.803921568627451,2.607843137254902,3.784313725490196,4.294117647058823,2.588235294117647,2.156862745098039,1.607843137254902,1.4313725490196079,1.8431372549019607,0.9803921568627451,2.9411764705882355,1.0196078431372548,2.156862745098039,2.4313725490196076,1.4901960784313726,2.196078431372549,2.5098039215686274,3.2745098039215685,2.411764705882353
8,198.23387342838356,197.6707695459162,13711394,0.15679148,324,84,103,123,181,221,235,121,3.1186440677966103,3.610169491525424,4.779661016949152,2.6610169491525424,4.576271186440678,4.5423728813559325,2.3559322033898304,3.694915254237288,4.0508474576271185,2.457627118644068,2.1186440677966103,1.5084745762711864,1.5084745762711864,1.7796610169491525,0.9322033898305084,2.7966101694915255,1.0677966101694916,2.1186440677966103,2.3559322033898304,1.4406779661016949,2.2542372881355934,2.457627118644068,3.288135593220339,2.305084745762712
9,196.18083317481452,195.45712256673644,15502940,0.16360012,343,118,117,128,184,241,228,145,3.090909090909091,3.4393939393939394,4.893939393939394,2.757575757575758,4.545454545454546,4.590909090909091,2.227272727272727,3.772727272727273,4.121212121212121,2.3484848484848486,2.0606060606060606,1.4393939393939394,1.606060606060606,1.8484848484848484,0.8787878787878788,2.6818181818181817,1.1515151515151516,2.0757575757575757,2.3333333333333335,1.393939393939394,2.0757575757575757,2.3484848484848486,3.242424242424242,2.1515151515151514
10,200.02374990356674,199.03015387533108,12037283,0.19012633,229,100,150,132,161,170,180,115,3.081081081081081,3.4594594594594597,4.905405405405405,3.108108108108108,4.527027027027027,4.554054054054054,2.108108108108108,3.608108108108108,3.8378378378378377,2.418918918918919,2.1216216216216215,1.4054054054054055,1.635135135135135,1.9054054054054055,0.8513513513513513,2.7837837837837838,1.337837837837838,2.2162162162162162,2.472972972972973,1.4189189189189189,1.8918918918918919,2.3378378378378377,3.054054054054054,2.1621621621621623
