택배번호,출발지,출발시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,경유지,하차시간,상차시간,거리,통행량,도착지,도착시간
001P10001,충북 진천군,1,5,71,1,청주 우편집중국,17,22,100,19,중부권 광역우편물류센터,34,46,248,4,동서울 우편집중국,58,60,30,1,서울 광진구
001P10002,인천 계양구,1,3,36,3,부천 우편집중국,15,28,253,7,중부권 광역우편물류센터,40,53,261,21,의정부 우편집중국,65,68,64,4,서울 노원구
001P10003,서울 성북구,1,3,36,2,동서울 우편집중국,15,27,248,3,중부권 광역우편물류센터,39,52,268,13,고양 우편집중국,64,66,30,2,경기 고양시 일산서구
001P10004,부산 사하구,1,5,70,2,부산 우편집중국,17,32,295,22,중부권 광역우편물류센터,44,57,256,66,원주 우편집중국,69,77,150,7,강원 인제군
001P10005,서울 서대문구,1,3,42,1,고양 우편집중국,15,28,268,4,중부권 광역우편물류센터,40,50,199,29,광주 우편집중국,62,72,202,4,광주 광산구
001P10006,경남 거창군,1,7,124,2,진주 우편집중국,19,29,202,19,중부권 광역우편물류센터,41,56,295,51,부산 우편집중국,68,76,152,4,부산 해운대구
001P10007,충남 천안시 동남구,1,3,30,1,천안 우편집중국,15,22,133,6,중부권 광역우편물류센터,34,47,268,2,고양 우편집중국,59,61,39,1,서울 은평구
001P10008,경기 오산시,1,5,86,1,수원 우편집중국,17,28,229,6,중부권 광역우편물류센터,40,56,318,11,울산 우편집중국,68,70,30,2,울산 동구
001P10009,경기 성남시 중원구,1,3,43,3,성남 우편집중국,15,26,218,4,중부권 광역우편물류센터,38,43,93,10,전주 우편집중국,55,61,129,2,전북 순창군
001P10010,대전 중구,1,4,57,1,대전 우편집중국,16,19,53,8,중부권 광역우편물류센터,31,45,290,1,영암 우편집중국,57,59,30,1,전남 진도군
001P10011,경기 군포시,1,3,33,3,안양 우편집중국,15,26,225,9,중부권 광역우편물류센터,38,56,368,5,강릉 우편집중국,68,72,82,2,강원 삼척시
001P10012,인천 서구,1,3,47,2,부천 우편집중국,15,28,253,7,중부권 광역우편물류센터,40,55,295,40,부산 우편집중국,67,69,35,3,부산 북구
001P10013,서울 은평구,1,3,39,2,고양 우편집중국,15,28,268,4,중부권 광역우편물류센터,40,51,225,32,안양 우편집중국,63,66,55,3,경기 과천시
001P10014,전북 완주군,1,3,45,3,전주 우편집중국,15,20,93,6,중부권 광역우편물류센터,32,47,295,1,부산 우편집중국,59,63,70,1,부산 중구
