,처리용량,상위 허브,연결도로,처리시간,번호
동서울 우편집중국,900,중부권 광역우편물류센터,세종포천고속 남구리IC,12,1
의정부 우편집중국,300,중부권 광역우편물류센터,세종포천고속 민락IC,12,2
부천 우편집중국,250,중부권 광역우편물류센터,경인고속 부천IC,12,3
중부권 광역우편물류센터,192,0,통영대전고속 남대전IC,12,4
부산 우편집중국,250,중부권 광역우편물류센터,중앙고속 초정IC,12,5
대구 우편집중국,250,중부권 광역우편물류센터,경부고속 북대구IC,12,6
성남 우편집중국,225,중부권 광역우편물류센터,용인서울고속 서분당IC,12,7
안양 우편집중국,225,중부권 광역우편물류센터,수도권제1순환고속 평촌IC,12,8
고양 우편집중국,225,중부권 광역우편물류센터,수도권제1순환고속 일산IC,12,9
대전 우편집중국,125,중부권 광역우편물류센터,호남고속 계룡IC,12,10
창원 우편집중국,125,중부권 광역우편물류센터,남해제1고속지선 서마산IC,12,11
광주 우편집중국,125,중부권 광역우편물류센터,호남고속 광산IC,12,12
수원 우편집중국,75,중부권 광역우편물류센터,용인서울고속 흥덕IC,12,13
원주 우편집중국,75,중부권 광역우편물류센터,중앙고속 남원주IC,12,14
강릉 우편집중국,50,중부권 광역우편물류센터,동해고속 강릉IC,12,15
청주 우편집중국,75,중부권 광역우편물류센터,중부고속 서청주IC,12,16
천안 우편집중국,50,중부권 광역우편물류센터,경부고속 천안IC,12,17
울산 우편집중국,75,중부권 광역우편물류센터,울산고속 울산IC,12,18
안동 우편집중국,50,중부권 광역우편물류센터,중앙고속 서안동IC,12,19
포항 우편집중국,80,중부권 광역우편물류센터,대구포항고속 포항IC,12,20
진주 우편집중국,75,중부권 광역우편물류센터,남해고속 문산IC,12,21
순천 집중과,50,중부권 광역우편물류센터,순천완주고속 동순천IC,12,22
영암 우편집중국,50,중부권 광역우편물류센터,남해고속 서영암IC,12,23
전주 우편집중국,75,중부권 광역우편물류센터,호남고속 익산IC,12,24
서울 종로구,0,동서울 우편집중국,경부고속 한남IC,0,25
