encoding='UTF-8',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
구서IC,양산JC,서울주JC,언양JC,경주IC,영천JC,영천IC,동대구JC,도동JC,북대구IC,금호JC,왜관IC,구미IC,김천JC,김천IC,영동IC,옥천IC,비룡JC,대전IC,회덕JC,청주JC,남이JC,청주IC,옥산JC,천안JC,천안IC,안성IC,안성JC,오산IC,동탄JC,수원신갈IC,신갈JC,판교IC,판교JC,금토JC,서초IC,잠원IC,한남IC
0,13.6,35.5,13.7,28.8,23,35.3,65.6,5,11.3,10.3,14.9,20.3,12.2,18.1,33.6,29.4,10.8,5,7.2,19.9,17.8,6.5,11.8,18.7,7.4,20.8,5.1,14.2,4.7,12.2,5.8,13,1.3,1.4,9.6,3,1.8
일로IC,서영암IC,강진무위사IC,장흥IC,보성IC,고흥IC,동순천IC,순천IC,순천JC,동광양IC,하동IC,사천IC,진주JC,진주IC,문산IC,군복IC,함안IC,산인JC,칠원JC,창원JC,진영JC,진례JC,냉정JC,동김해IC,김해JC,대저JC,덕천IC,,,,,,,,,,,
0,14.6,19.6,19.4,24.3,25.3,28.2,0,2.2,13.2,19,30.7,3.3,4.6,4.3,22.6,7.3,8.2,3.3,12.2,6.6,22,3.7,10.1,3.3,4.7,2.6,,,,,,,,,,,
함평JC,나주IC,운수IC,고서JC,담양JC,담양IC,순창IC,남원JC,남원IC,함양IC,함양JC,거창IC,고령IC,고령JC,옥포JC,,,,,,,,,,,,,,,,,,,,,,,
0,22.6,10.7,0,4.2,3.8,19.8,17.8,9.3,40.2,2.6,25.1,33.3,14.9,10.1,,,,,,,,,,,,,,,,,,,,,,,
밀양JC,서울주JC,울주JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,45.5,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금천IC,소하JC,일직JC,조남JC,안산JC,매송IC,서평택JC,당진IC,당진JC,서산IC,홍성IC,대천IC,서천IC,동서천JC,군산IC,서김제IC,부안IC,고창IC,고창JC,영광IC,함평IC,함평JC,무안IC,일로IC,,,,,,,,,,,,,,
0,0.6,1.7,7.4,4.1,10,27.3,28.2,10.9,7.7,25.6,31.7,34,9.5,7.7,22.4,14.6,35.7,2.5,17.1,25.9,9.3,3.6,18.2,,,,,,,,,,,,,,
언양JC,울산JC,울산IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금촌IC,고양JC,흥도IC,봉대산JC,행주산성JC,서오산JC,평택JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,12.2,5.7,1.7,1.1,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
익산JC,완주IC,완주JC,진안IC,장수IC,장수JC,도동JC,포항IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8.4,3.9,34.5,17.7,3.3,0,67.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
논산JC,익산IC,익산JC,삼례IC,서전주IC,정읍IC,장성JC,장성IC,광산IC,서광주IC,용봉IC,동광주IC,문흥JC,고서JC,대덕JC,곡성IC,,,,,,,,,,,,,,,,,,,,,,
0,11.5,6.5,2.8,13.8,35.4,31,6.8,9.1,25.4,1.6,13.6,2.5,5.1,8.8,19.2,,,,,,,,,,,,,,,,,,,,,,
천안JC,남풍세IC,공주JC,서논산IC,논산JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,7.8,29,31.4,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
완주JC,동전주IC,임실IC,남원JC,구례화엄사IC,순천JC,동순천IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.6,28.2,28.9,20.9,33.2,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
신북IC,포천IC,선단IC,소흘IC,민락IC,중랑IC,남구리IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.7,7.3,7.5,7.7,18.4,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
당진JC,예산수덕사IC,서공주JC,공주JC,공주IC,남세종IC,유성JC,청주JC,문의IC,보은IC,낙동JC,상주JC,안동JC,청송IC,,,,,,,,,,,,,,,,,,,,,,,,
0,25.5,36.4,2.7,5.1,20.3,6,0,9.7,22.2,50.5,3.4,34.1,39.3,,,,,,,,,,,,,,,,,,,,,,,,
옥산JC,오창JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
하남JC,하남IC,광주IC,경기광주JC,호법JC,대소JC,진천IC,증평IC,오창JC,서청주IC,남이JC,비룡JC,판암IC,산내JC,남대전IC,금산IC,무주IC,장수JC,함양JC,산청IC,진주JC,고성IC,통영IC,,,,,,,,,,,,,,,
0,2.3,13.2,9.6,20.1,35,10.1,12.8,5.6,22.6,7.2,0,4.3,5.9,2.2,20.5,20.9,31.6,30.4,16.9,43.1,29.7,19,,,,,,,,,,,,,,,
서평택JC,평택JC,안성JC,남안성IC,대소JC,음성IC,충주JC,제천JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,8.4,16.9,13.6,24.1,15.9,14.1,42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남양평IC,여주JC,충주JC,괴산IC,점촌함창IC,상주IC,낙동JC,김천JC,성주IC,고령JC,헌풍JC,창녕IC,칠원JC,내서JC,,,,,,,,,,,,,,,,,,,,,,,,
0,32.8,28.1,30.8,43.8,21.7,8.4,25.4,29.5,23.1,11.4,18.2,33.5,4.5,,,,,,,,,,,,,,,,,,,,,,,,
서창JC,군자JC,서안산IC,안산JC,북수원IC,동수원IC,신갈JC,용인IC,호법JC,이천IC,여주JC,여주IC,만종JC,원주JC,둔내IC,진부IC,강릉JC,,,,,,,,,,,,,,,,,,,,,
0,9.1,3,6.8,14.5,7.4,6.1,11.7,22,7.7,9.9,7.2,29.4,4.7,42.8,39.6,36.5,,,,,,,,,,,,,,,,,,,,,
경기광주JC,신평JC,원주JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,52.9,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
춘천IC,춘천JC,홍천IC,횡성IC,신평JC,만종 JC,남원주IC,제천IC,제천JC,단양IC,영주IC,예천IC,서안동IC,안동JC,의성IC,군위IC,군위JC,금호JC,동대구JC,동대구IC,수성IC,청도IC,밀양JC,밀양IC,대동JC,대감JC,초정IC,대저JC,삼락IC,,,,,,,,,
0,13.9,13.4,26.5,16.1,2.7,5.6,32.3,8.1,27.4,29,12.8,13.8,21.1,19.2,12.3,7.8,35.6,0,3.5,4.3,24.6,18,4.3,36.7,2.6,5,1.3,3.9,,,,,,,,,
설악IC,춘천JC,인제IC,양양JC,양양IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29.9,55.3,36.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동부산IC,기장IC,문수IC,울산JC,근덕IC,삼척IC,동해IC,강릉IC,강릉JC,하조대IC,양양JC,속초IC,,,,,,,,,,,,,,,,,,,,,,,,,,
0,9.6,30,3.7,0,10.9,10,41.8,4.3,33.3,10.4,19.3,,,,,,,,,,,,,,,,,,,,,,,,,,
일산IC,고양JC,통일로IC,호원IC,의정부IC,구리IC,남양주IC,하남JC,서하남IC,송파IC,성남IC,판교JC,평촌IC,산본IC,조남JC,도리IC,안현JC,중동IC,서운JC,계양IC,노오지JC,김포IC,일산IC,,,,,,,,,,,,,,,
0,5.9,3.1,16.5,4.2,12.7,2,8.6,4.6,4.9,4.4,5,15,2.7,7.5,4.1,5.4,12,3.5,4.1,3,4,5.8,,,,,,,,,,,,,,,
산인JC,내서JC,서마산IC,동마산IC,창원JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,6.6,5.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
냉정JC,사상IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진례JC,대청IC,진해IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5.9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공항신도시JC,송도IC,능해IC,문학IC,서창JC,안현JC,일직JC,석수IC,북의왕IC,판교JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,24.9,4.1,4.3,6,7.9,8,1,8.5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부평IC,서운JC,부천IC,신월IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,2,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
공항신도시JC,청라IC,노오지JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,20.1,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서공주JC,청양IC,부여IC,동서천JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,17.8,14.1,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군자JC,서평택JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,40.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금토JC,서분당IC,흥덕IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6.6,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유성JC,유성IC,서대전JC,계룡IC,논산JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3.6,8.7,7.8,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고창JC,장성JC,담양JC,대덕JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,18.7,20.2,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서대전JC,산내JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
상주JC,군위JC,화산JC,영천JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,38.4,34.3,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서김포.통진IC,남청라IC,능해IC,마도JC,화성IC,팔탄JC,화성JC,서오산JC,동탄JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,21.5,8.7,0,3.7,6.3,8.6,4.7,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금호JC,서대구IC,남대구IC,화원옥포IC,옥포JC,현풍JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.5,4.8,6.1,1.4,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양산JC,남양산IC,대동JC,김해JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1.3,7.9,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진영JC,대감JC,노포JC,기장JC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,27.3,12.6,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중랑IC,구리IC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
