episode,dist,cost,score,entropy,"(0,0,0)","(1,0,0)","(0,1,0)","(0,0,1)","(1,1,0)","(1,0,1)","(0,1,1)","(1,1,1)",동서울 우편집중국,의정부 우편집중국,부천 우편집중국,중부권 광역우편물류센터,부산 우편집중국,대구 우편집중국,성남 우편집중국,안양 우편집중국,고양 우편집중국,대전 우편집중국,창원 우편집중국,광주 우편집중국,수원 우편집중국,원주 우편집중국,강릉 우편집중국,청주 우편집중국,천안 우편집중국,울산 우편집중국,안동 우편집중국,포항 우편집중국,진주 우편집중국,순천 집중과,영암 우편집중국,전주 우편집중국
1,208.47109129344489,206.860225327328,38259952,0.21433783,233,267,272,217,200,322,339,247,3.5,2.5,6.0,4.5,6.833333333333333,5.833333333333333,2.8333333333333335,5.5,7.833333333333333,2.5,2.0,0.16666666666666666,1.6666666666666667,1.0,1.3333333333333333,3.6666666666666665,0.6666666666666666,3.0,2.3333333333333335,3.1666666666666665,0.6666666666666666,3.0,4.0,2.1666666666666665
2,233.4101643392336,229.7141419971587,48724637,0.21976256,210,269,294,222,241,426,512,231,3.375,10.5,9.75,6.125,10.125,9.625,2.75,7.0,5.0,4.875,3.5,3.75,2.75,3.375,1.5,4.5,2.0,3.375,3.5,3.375,5.0,1.375,7.625,5.125
3,197.55225773810818,195.51301814364527,32104108,0.21118933,252,259,270,218,254,287,278,237,1.0,3.2,3.8,1.0,3.8,4.6,1.6,3.2,3.2,1.2,0.4,0.6,0.4,0.2,0.2,3.6,1.4,1.0,0.6,2.2,0.4,0.8,3.0,1.0
4,227.99957687006278,224.16732473238224,54457661,0.22615902,236,288,305,206,205,436,441,222,5.714285714285714,5.285714285714286,5.714285714285714,3.857142857142857,6.571428571428571,8.428571428571429,3.142857142857143,7.0,8.571428571428571,2.2857142857142856,4.571428571428571,1.8571428571428572,2.4285714285714284,2.142857142857143,1.5714285714285714,4.571428571428571,3.4285714285714284,3.0,4.428571428571429,2.4285714285714284,2.142857142857143,1.8571428571428572,8.571428571428571,2.4285714285714284
5,218.0682361382978,216.42329177113857,31979259,0.22724827,204,211,247,182,187,308,303,224,3.5,2.6666666666666665,6.333333333333333,1.6666666666666667,3.1666666666666665,3.5,1.8333333333333333,3.1666666666666665,4.166666666666667,2.6666666666666665,1.3333333333333333,1.0,1.3333333333333333,2.5,0.3333333333333333,1.1666666666666667,2.0,3.1666666666666665,0.8333333333333334,1.5,1.3333333333333333,1.8333333333333333,2.8333333333333335,2.1666666666666665
6,220.0179958240471,216.40239563928964,41697661,0.22528651,244,265,284,223,220,394,419,240,10.142857142857142,7.714285714285714,7.285714285714286,6.714285714285714,8.142857142857142,8.714285714285714,5.571428571428571,8.142857142857142,5.142857142857143,3.4285714285714284,5.285714285714286,3.142857142857143,2.142857142857143,3.2857142857142856,2.0,4.571428571428571,1.8571428571428572,5.285714285714286,3.4285714285714284,2.857142857142857,2.2857142857142856,1.5714285714285714,5.428571428571429,3.857142857142857
7,217.22222956819203,215.95981654980653,26769144,0.23060693,221,219,233,182,182,292,285,199,3.6666666666666665,0.8333333333333334,1.8333333333333333,1.1666666666666667,2.8333333333333335,1.5,1.5,5.5,3.8333333333333335,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.6666666666666666,1.5,0.8333333333333334,1.8333333333333333,1.3333333333333333,3.5,3.6666666666666665,0.8333333333333334,0.8333333333333334,3.0,4.666666666666667,1.8333333333333333
8,216.53833612232546,213.42345079540937,44132034,0.22621286,269,256,312,233,221,337,354,243,1.3333333333333333,5.5,4.166666666666667,2.6666666666666665,3.0,3.6666666666666665,2.5,5.5,4.666666666666667,2.6666666666666665,0.5,1.8333333333333333,0.6666666666666666,1.0,0.6666666666666666,2.0,0.5,3.3333333333333335,1.1666666666666667,1.0,2.1666666666666665,0.8333333333333334,4.833333333333333,2.5
9,212.60884578466448,210.62390154320983,29150518,0.2264596,258,253,254,237,217,235,272,213,2.3333333333333335,1.6666666666666667,3.3333333333333335,2.8333333333333335,2.6666666666666665,5.0,1.3333333333333333,3.0,3.8333333333333335,2.6666666666666665,1.0,1.6666666666666667,0.0,0.6666666666666666,0.8333333333333334,1.3333333333333333,1.6666666666666667,2.1666666666666665,1.1666666666666667,2.0,1.5,1.0,3.1666666666666665,1.3333333333333333
10,210.19484266072436,207.32101110569482,49759173,0.21723033,297,321,322,198,242,462,396,275,6.571428571428571,7.571428571428571,10.0,5.285714285714286,6.285714285714286,5.857142857142857,3.7142857142857144,8.285714285714286,5.428571428571429,2.4285714285714284,3.5714285714285716,2.2857142857142856,4.142857142857143,2.857142857142857,2.7142857142857144,5.857142857142857,3.0,5.285714285714286,4.0,2.142857142857143,2.857142857142857,1.8571428571428572,7.571428571428571,4.428571428571429
